lambda_um,n,k,material,source
0.2000,0.1100,2.2200,Al,McPeak 2015
0.3000,0.2800,3.6100,Al,McPeak 2015
0.4000,0.4900,4.8600,Al,McPeak 2015
0.5000,0.7700,6.0800,Al,McPeak 2015
0.5500,0.9600,6.7000,Al,McPeak 2015
0.6000,1.2000,7.2600,Al,McPeak 2015
0.7000,1.8600,8.2400,Al,McPeak 2015
0.8000,2.8000,8.4500,Al,McPeak 2015
0.9000,1.9600,8.7000,Al,McPeak 2015
1.0000,1.3400,9.5800,Al,McPeak 2015
1.2000,1.1800,11.5000,Al,McPeak 2015
1.5000,1.4800,14.5000,Al,McPeak 2015
2.0000,2.6500,19.3000,Al,McPeak 2015
