lambda_um,n,k,material,source
0.2500,1.0500,1.8500,Cr,Johnson and Christy 1974
0.3000,1.1500,2.0100,Cr,Johnson and Christy 1974
0.4000,1.4500,2.4500,Cr,Johnson and Christy 1974
0.5000,2.1000,2.8000,Cr,Johnson and Christy 1974
0.5500,2.3800,2.9500,Cr,Johnson and Christy 1974
0.6000,2.5000,3.1000,Cr,Johnson and Christy 1974
0.7000,2.8500,3.2500,Cr,Johnson and Christy 1974
0.8000,3.0500,3.3200,Cr,Johnson and Christy 1974
0.9000,3.1200,3.3400,Cr,Johnson and Christy 1974
1.0000,3.1500,3.3600,Cr,Johnson and Christy 1974
1.2000,3.2200,3.4200,Cr,Johnson and Christy 1974
1.5000,3.3500,3.5200,Cr,Johnson and Christy 1974
2.0000,3.5500,3.7500,Cr,Johnson and Christy 1974
