lambda_um,n,k,material,source
0.3000,1.552770,0.000000,N-BK7,Schott 2015 catalog
0.3100,1.549417,0.000000,N-BK7,Schott 2015 catalog
0.3200,1.546429,0.000000,N-BK7,Schott 2015 catalog
0.3300,1.543752,0.000000,N-BK7,Schott 2015 catalog
0.3400,1.541344,0.000000,N-BK7,Schott 2015 catalog
0.3500,1.539166,0.000000,N-BK7,Schott 2015 catalog
0.3600,1.537190,0.000000,N-BK7,Schott 2015 catalog
0.3700,1.535390,0.000000,N-BK7,Schott 2015 catalog
0.3800,1.533745,0.000000,N-BK7,Schott 2015 catalog
0.3900,1.532236,0.000000,N-BK7,Schott 2015 catalog
0.4000,1.530849,0.000000,N-BK7,Schott 2015 catalog
0.4100,1.529569,0.000000,N-BK7,Schott 2015 catalog
0.4200,1.528385,0.000000,N-BK7,Schott 2015 catalog
0.4300,1.527288,0.000000,N-BK7,Schott 2015 catalog
0.4400,1.526269,0.000000,N-BK7,Schott 2015 catalog
0.4500,1.525320,0.000000,N-BK7,Schott 2015 catalog
0.4600,1.524433,0.000000,N-BK7,Schott 2015 catalog
0.4700,1.523605,0.000000,N-BK7,Schott 2015 catalog
0.4800,1.522829,0.000000,N-BK7,Schott 2015 catalog
0.4900,1.522100,0.000000,N-BK7,Schott 2015 catalog
0.5000,1.521414,0.000000,N-BK7,Schott 2015 catalog
0.5100,1.520769,0.000000,N-BK7,Schott 2015 catalog
0.5200,1.520160,0.000000,N-BK7,Schott 2015 catalog
0.5300,1.519584,0.000000,N-BK7,Schott 2015 catalog
0.5400,1.519039,0.000000,N-BK7,Schott 2015 catalog
0.5500,1.518522,0.000000,N-BK7,Schott 2015 catalog
0.5600,1.518032,0.000000,N-BK7,Schott 2015 catalog
0.5700,1.517566,0.000000,N-BK7,Schott 2015 catalog
0.5800,1.517122,0.000000,N-BK7,Schott 2015 catalog
0.5900,1.516699,0.000000,N-BK7,Schott 2015 catalog
0.6000,1.516295,0.000000,N-BK7,Schott 2015 catalog
0.6100,1.515909,0.000000,N-BK7,Schott 2015 catalog
0.6200,1.515539,0.000000,N-BK7,Schott 2015 catalog
0.6300,1.515186,0.000000,N-BK7,Schott 2015 catalog
0.6400,1.514846,0.000000,N-BK7,Schott 2015 catalog
0.6500,1.514520,0.000000,N-BK7,Schott 2015 catalog
0.6600,1.514207,0.000000,N-BK7,Schott 2015 catalog
0.6700,1.513905,0.000000,N-BK7,Schott 2015 catalog
0.6800,1.513615,0.000000,N-BK7,Schott 2015 catalog
0.6900,1.513335,0.000000,N-BK7,Schott 2015 catalog
0.7000,1.513064,0.000000,N-BK7,Schott 2015 catalog
0.7100,1.512802,0.000000,N-BK7,Schott 2015 catalog
0.7200,1.512549,0.000000,N-BK7,Schott 2015 catalog
0.7300,1.512304,0.000000,N-BK7,Schott 2015 catalog
0.7400,1.512067,0.000000,N-BK7,Schott 2015 catalog
0.7500,1.511836,0.000000,N-BK7,Schott 2015 catalog
0.7600,1.511613,0.000000,N-BK7,Schott 2015 catalog
0.7700,1.511395,0.000000,N-BK7,Schott 2015 catalog
0.7800,1.511183,0.000000,N-BK7,Schott 2015 catalog
0.7900,1.510977,0.000000,N-BK7,Schott 2015 catalog
0.8000,1.510776,0.000000,N-BK7,Schott 2015 catalog
0.8100,1.510580,0.000000,N-BK7,Schott 2015 catalog
0.8200,1.510389,0.000000,N-BK7,Schott 2015 catalog
0.8300,1.510202,0.000000,N-BK7,Schott 2015 catalog
0.8400,1.510019,0.000000,N-BK7,Schott 2015 catalog
0.8500,1.509840,0.000000,N-BK7,Schott 2015 catalog
0.8600,1.509665,0.000000,N-BK7,Schott 2015 catalog
0.8700,1.509493,0.000000,N-BK7,Schott 2015 catalog
