lambda_um,n,k,material,source
0.3500,2.169501,0.000000,ZrO2,Wood 2013
0.3600,2.157039,0.000000,ZrO2,Wood 2013
0.3700,2.145829,0.000000,ZrO2,Wood 2013
0.3800,2.135700,0.000000,ZrO2,Wood 2013
0.3900,2.126514,0.000000,ZrO2,Wood 2013
0.4000,2.118152,0.000000,ZrO2,Wood 2013
0.4100,2.110515,0.000000,ZrO2,Wood 2013
0.4200,2.103518,0.000000,ZrO2,Wood 2013
0.4300,2.097090,0.000000,ZrO2,Wood 2013
0.4400,2.091168,0.000000,ZrO2,Wood 2013
0.4500,2.085699,0.000000,ZrO2,Wood 2013
0.4600,2.080637,0.000000,ZrO2,Wood 2013
0.4700,2.075941,0.000000,ZrO2,Wood 2013
0.4800,2.071576,0.000000,ZrO2,Wood 2013
0.4900,2.067511,0.000000,ZrO2,Wood 2013
0.5000,2.063717,0.000000,ZrO2,Wood 2013
0.5100,2.060171,0.000000,ZrO2,Wood 2013
0.5200,2.056852,0.000000,ZrO2,Wood 2013
0.5300,2.053739,0.000000,ZrO2,Wood 2013
0.5400,2.050815,0.000000,ZrO2,Wood 2013
0.5500,2.048066,0.000000,ZrO2,Wood 2013
0.5600,2.045477,0.000000,ZrO2,Wood 2013
0.5700,2.043036,0.000000,ZrO2,Wood 2013
0.5800,2.040732,0.000000,ZrO2,Wood 2013
0.5900,2.038554,0.000000,ZrO2,Wood 2013
0.6000,2.036493,0.000000,ZrO2,Wood 2013
0.6100,2.034541,0.000000,ZrO2,Wood 2013
0.6200,2.032690,0.000000,ZrO2,Wood 2013
0.6300,2.030934,0.000000,ZrO2,Wood 2013
0.6400,2.029265,0.000000,ZrO2,Wood 2013
0.6500,2.027677,0.000000,ZrO2,Wood 2013
0.6600,2.026167,0.000000,ZrO2,Wood 2013
0.6700,2.024728,0.000000,ZrO2,Wood 2013
0.6800,2.023356,0.000000,ZrO2,Wood 2013
0.6900,2.022047,0.000000,ZrO2,Wood 2013
0.7000,2.020797,0.000000,ZrO2,Wood 2013
0.7100,2.019603,0.000000,ZrO2,Wood 2013
0.7200,2.018461,0.000000,ZrO2,Wood 2013
0.7300,2.017368,0.000000,ZrO2,Wood 2013
0.7400,2.016321,0.000000,ZrO2,Wood 2013
0.7500,2.015319,0.000000,ZrO2,Wood 2013
0.7600,2.014357,0.000000,ZrO2,Wood 2013
0.7700,2.013435,0.000000,ZrO2,Wood 2013
0.7800,2.012550,0.000000,ZrO2,Wood 2013
0.7900,2.011700,0.000000,ZrO2,Wood 2013
0.8000,2.010882,0.000000,ZrO2,Wood 2013
0.8100,2.010097,0.000000,ZrO2,Wood 2013
0.8200,2.009341,0.000000,ZrO2,Wood 2013
0.8300,2.008613,0.000000,ZrO2,Wood 2013
0.8400,2.007913,0.000000,ZrO2,Wood 2013
0.8500,2.007237,0.000000,ZrO2,Wood 2013
0.8600,2.006587,0.000000,ZrO2,Wood 2013
0.8700,2.005959,0.000000,ZrO2,Wood 2013
0.8800,2.005354,0.000000,ZrO2,Wood 2013
0.8900,2.004769,0.000000,ZrO2,Wood 2013
0.9000,2.004205,0.000000,ZrO2,Wood 2013
0.9100,2.003660,0.000000,ZrO2,Wood 2013
0.9200,2.003133,0.000000,ZrO2,Wood 2013
0.9300,2.002623,0.000000,ZrO2,Wood 2013
0.9400,2.002130,0.000000,ZrO2,Wood 2013
0.9500,2.001654,0.000000,ZrO2,Wood 2013
0.9600,2.001192,0.000000,ZrO2,Wood 2013
0.9700,2.000745,0.000000,ZrO2,Wood 2013
0.9800,2.000312,0.000000,ZrO2,Wood 2013
0.9900,1.999893,0.000000,ZrO2,Wood 2013
1.0000,1.999487,0.000000,ZrO2,Wood 2013
1.0100,1.999092,0.000000,ZrO2,Wood 2013
1.0200,1.998710,0.000000,ZrO2,Wood 2013
1.0300,1.998339,0.000000,ZrO2,Wood 2013
1.0400,1.997979,0.000000,ZrO2,Wood 2013
1.0500,1.997630,0.000000,ZrO2,Wood 2013
1.0600,1.997290,0.000000,ZrO2,Wood 2013
1.0700,1.996961,0.000000,ZrO2,Wood 2013
1.0800,1.996640,0.000000,ZrO2,Wood 2013
1.0900,1.996329,0.000000,ZrO2,Wood 2013
1.1000,1.996026,0.000000,ZrO2,Wood 2013
1.1100,1.995732,0.000000,ZrO2,Wood 2013
1.1200,1.995446,0.000000,ZrO2,Wood 2013
1.1300,1.995167,0.000000,ZrO2,Wood 2013
1.1400,1.994896,0.000000,ZrO2,Wood 2013
1.1500,1.994632,0.000000,ZrO2,Wood 2013
1.1600,1.994375,0.000000,ZrO2,Wood 2013
1.1700,1.994125,0.000000,ZrO2,Wood 2013
1.1800,1.993881,0.000000,ZrO2,Wood 2013
1.1900,1.993644,0.000000,ZrO2,Wood 2013
1.2000,1.993412,0.000000,ZrO2,Wood 2013
1.2100,1.993186,0.000000,ZrO2,Wood 2013
1.2200,1.992966,0.000000,ZrO2,Wood 2013
1.2300,1.992752,0.000000,ZrO2,Wood 2013
1.2400,1.992542,0.000000,ZrO2,Wood 2013
1.2500,1.992338,0.000000,ZrO2,Wood 2013
1.2600,1.992139,0.000000,ZrO2,Wood 2013
1.2700,1.991944,0.000000,ZrO2,Wood 2013
1.2800,1.991754,0.000000,ZrO2,Wood 2013
1.2900,1.991569,0.000000,ZrO2,Wood 2013
1.3000,1.991388,0.000000,ZrO2,Wood 2013
1.3100,1.991211,0.000000,ZrO2,Wood 2013
1.3200,1.991038,0.000000,ZrO2,Wood 2013
1.3300,1.990869,0.000000,ZrO2,Wood 2013
1.3400,1.990704,0.000000,ZrO2,Wood 2013
1.3500,1.990543,0.000000,ZrO2,Wood 2013
1.3600,1.990385,0.000000,ZrO2,Wood 2013
1.3700,1.990231,0.000000,ZrO2,Wood 2013
1.3800,1.990080,0.000000,ZrO2,Wood 2013
1.3900,1.989932,0.000000,ZrO2,Wood 2013
1.4000,1.989788,0.000000,ZrO2,Wood 2013
1.4100,1.989647,0.000000,ZrO2,Wood 2013
1.4200,1.989508,0.000000,ZrO2,Wood 2013
1.4300,1.989373,0.000000,ZrO2,Wood 2013
1.4400,1.989240,0.000000,ZrO2,Wood 2013
1.4500,1.989111,0.000000,ZrO2,Wood 2013
1.4600,1.988984,0.000000,ZrO2,Wood 2013
1.4700,1.988859,0.000000,ZrO2,Wood 2013
1.4800,1.988737,0.000000,ZrO2,Wood 2013
1.4900,1.988618,0.000000,ZrO2,Wood 2013
1.5000,1.988501,0.000000,ZrO2,Wood 2013
1.5100,1.988386,0.000000,ZrO2,Wood 2013
1.5200,1.988274,0.000000,ZrO2,Wood 2013
1.5300,1.988164,0.000000,ZrO2,Wood 2013
1.5400,1.988056,0.000000,ZrO2,Wood 2013
1.5500,1.987950,0.000000,ZrO2,Wood 2013
1.5600,1.987846,0.000000,ZrO2,Wood 2013
1.5700,1.987745,0.000000,ZrO2,Wood 2013
1.5800,1.987645,0.000000,ZrO2,Wood 2013
1.5900,1.987547,0.000000,ZrO2,Wood 2013
1.6000,1.987451,0.000000,ZrO2,Wood 2013
1.6100,1.987356,0.000000,ZrO2,Wood 2013
1.6200,1.987264,0.000000,ZrO2,Wood 2013
1.6300,1.987173,0.000000,ZrO2,Wood 2013
1.6400,1.987084,0.000000,ZrO2,Wood 2013
1.6500,1.986996,0.000000,ZrO2,Wood 2013
1.6600,1.986911,0.000000,ZrO2,Wood 2013
1.6700,1.986826,0.000000,ZrO2,Wood 2013
1.6800,1.986743,0.000000,ZrO2,Wood 2013
1.6900,1.986662,0.000000,ZrO2,Wood 2013
1.7000,1.986582,0.000000,ZrO2,Wood 2013
1.7100,1.986504,0.000000,ZrO2,Wood 2013
1.7200,1.986426,0.000000,ZrO2,Wood 2013
1.7300,1.986351,0.000000,ZrO2,Wood 2013
1.7400,1.986276,0.000000,ZrO2,Wood 2013
1.7500,1.986203,0.000000,ZrO2,Wood 2013
1.7600,1.986131,0.000000,ZrO2,Wood 2013
1.7700,1.986060,0.000000,ZrO2,Wood 2013
1.7800,1.985991,0.000000,ZrO2,Wood 2013
1.7900,1.985923,0.000000,ZrO2,Wood 2013
1.8000,1.985855,0.000000,ZrO2,Wood 2013
1.8100,1.985789,0.000000,ZrO2,Wood 2013
1.8200,1.985724,0.000000,ZrO2,Wood 2013
1.8300,1.985660,0.000000,ZrO2,Wood 2013
1.8400,1.985598,0.000000,ZrO2,Wood 2013
1.8500,1.985536,0.000000,ZrO2,Wood 2013
1.8600,1.985475,0.000000,ZrO2,Wood 2013
1.8700,1.985415,0.000000,ZrO2,Wood 2013
1.8800,1.985356,0.000000,ZrO2,Wood 2013
1.8900,1.985298,0.000000,ZrO2,Wood 2013
1.9000,1.985241,0.000000,ZrO2,Wood 2013
1.9100,1.985185,0.000000,ZrO2,Wood 2013
1.9200,1.985130,0.000000,ZrO2,Wood 2013
1.9300,1.985076,0.000000,ZrO2,Wood 2013
1.9400,1.985022,0.000000,ZrO2,Wood 2013
1.9500,1.984969,0.000000,ZrO2,Wood 2013
1.9600,1.984917,0.000000,ZrO2,Wood 2013
1.9700,1.984866,0.000000,ZrO2,Wood 2013
1.9800,1.984816,0.000000,ZrO2,Wood 2013
1.9900,1.984766,0.000000,ZrO2,Wood 2013
2.0000,1.984718,0.000000,ZrO2,Wood 2013
